baguette,*je suis baguette*,🥖,,,,
bread,🍞,let's get some?,,,,
pizza,🍕,*stuffs face with pepperoni pizza*,,,,
bbt,🧋,**bobba?**,brown sugar milk tea,,,
bobba,🧋,**bbt?**,brown sugar milk tea,,,
rice,🍚,,,,,
ichigo,🍓,hehe i like her taste,BLEACH?,,,
bts,RM,**not** today,**mic drop**,*smooth like butter*,,
canada,🇨🇦,eh?,,,,
usa,🇺🇸,**MURICA**,anybody want some **freedom?**,,,
antarctica,🇦🇶 🇦🇶 🐧 🇦🇶 🇦🇶,is it just me or is it freezing?,*speaks in penguin*,,,
france,🥖 🇫🇷 🍷,🍟 (**french** fries),"I only drink the finest *Château d'Yquem, Sauternes*",,,
japan,🇯🇵 🍣 🍵.🗼,Nippon!,Land of the Rising Sun?,,,
c++,"`std::cout << ""use header guards"";`",`#include <iostream>`,`linker error`,**SegMenTAtIOn FaUlT**,,
java,"`System.out.println(""hello world"")`",Please download the latest JDK here: https://www.oracle.com/java/technologies/downloads/,,,,
martini,"*shaken, not stirred*",,,,,
pay up,"You'd better pay up, or the invisible hand of the market will smack you so hard you won't sit down for a week.",,,,,
geralt,THE WHITE WOLF,*TOSS A COIN TO YOUR WITCHER*,Butcher of Blaviken,Ravix of Hourhorn,,
evil,evil is evil,,,,,
todoroki,Your power… is your own!!,half 🥵 half 🥶,,,,
levi ackerman,"Ranker.com hottest anime guy of all time, Levi Ackerman",,,,,
bruh moment,"yup, certified bruh moment",bruh moment indeed,,,,
tim hortons,I want an extra large double double please,"yo, let's go to timmies",timmies run?,timothy my boy,☕🍩,
timmies,I want an extra large double double please,"yo, let's go to timmies",timmies run?,timothy my boy,☕🍩,
haikyuu,NICE SERVE,ALRIGHT ALRIGHT,1-TOUCH,CHANCE BAAAAAAAAALLL,ROLLING THUNDER!,"ROLLING THUNDER, AGAIN!"
